       V        B-V 
  19.016      1.022 
  19.341      1.001 
  17.624      0.834 
  19.307      0.975 
  19.022      1.015 
  18.048      0.828 
  20.000      1.191 
  17.918      0.819 
  19.980      1.085 
  18.166      0.876 
  18.032      0.888 
  19.561      1.166 
  18.901      0.956 
  19.578      1.057 
  17.201      1.092 
  19.429      0.917 
  18.921      0.926 
  19.891      1.130 
  19.383      0.957 
  17.665      0.875 
  18.105      0.784 
  18.357      0.827 
  19.372      1.078 
  18.982      1.013 
  18.882      1.050 
  19.785      1.086 
  18.283      0.902 
  19.628      1.163 
  17.816      0.895 
  18.286      0.880 
  18.992      0.898 
  17.624      0.770 
  15.266      1.324 
  17.317      0.957 
  19.303      0.944 
  18.925      1.010 
  17.401      0.830 
  17.828      0.827 
  18.984      0.943 
  19.009      0.975 
  17.566      0.828 
  17.985      0.860 
  18.309      0.889 
  16.392      1.150 
  19.761      1.117 
  19.767      1.050 
  19.413      1.050 
  17.624      0.753 
  19.453      1.016 
  17.406      1.047 
  18.245      0.986 
  19.949      1.112 
  19.506      1.037 
  19.269      1.141 
  17.547      0.864 
  19.548      1.059 
  19.238      0.997 
  19.206      0.981 
  18.153      0.889 
  19.324      1.070 
  19.492      0.942 
  18.041      0.891 
  18.692      0.936 
  19.589      1.101 
  15.031      1.377 
  19.405      1.014 
  19.342      1.059 
  17.540      0.818 
  19.645      0.972 
  18.525      0.873 
  19.801      1.012 
  17.449      0.862 
  17.841      0.797 
  18.823      0.921 
  17.274      0.984 
  18.990      1.037 
  19.597      1.098 
  19.121      1.054 
  18.228      0.906 
  19.360      1.092 
  14.523      1.369 
  17.414      0.821 
  18.071      0.867 
  18.110      0.842 
  18.781      0.905 
  18.967      0.974 
  19.101      0.980 
  18.581      0.846 
  19.746      1.093 
  18.039      0.889 
  18.367      0.938 
  18.675      0.927 
  19.039      0.919 
  18.240      0.835 
  18.431      0.872 
  17.372      1.175 
  17.331      0.885 
  17.468      1.065 
  19.151      0.967 
  19.233      1.001 
  18.849      0.956 
  19.089      1.023 
  19.392      1.105 
  18.175      0.878 
  19.286      1.070 
  18.150      0.936 
  16.099      1.185 
  17.327      0.933 
  18.184      0.878 
  18.239      0.808 
  18.376      0.964 
  17.405      1.009 
  19.085      1.051 
  18.736      0.950 
  18.434      0.864 
  18.093      0.907 
  17.557      0.856 
  17.639      0.862 
  17.526      0.830 
  17.123      1.144 
  16.108      1.181 
  18.884      0.962 
  19.432      1.019 
  19.160      0.959 
  19.581      1.028 
  18.762      0.889 
  18.496      0.893 
  18.504      0.888 
  18.046      0.835 
  14.770      1.404 
  17.265      1.149 
  19.685      1.160 
  18.505      0.870 
  19.396      1.057 
  19.659      1.048 
  19.833      1.082 
  19.311      1.044 
  18.587      0.904 
  18.945      0.986 
  17.456      0.821 
  19.630      1.003 
  18.280      0.855 
  18.570      0.910 
  18.728      0.950 
  19.170      0.974 
  18.621      0.925 
  17.336      0.929 
  16.723      1.167 
  17.709      0.860 
  18.105      0.830 
  19.707      1.168 
  17.457      0.854 
  17.776      0.762 
  17.654      0.723 
  17.869      0.861 
  18.159      0.893 
  18.657      0.916 
  19.696      1.016 
  17.658      0.849 
  18.115      0.847 
  17.423      0.840 
  19.945      1.172 
  17.907      0.907 
  18.114      0.857 
  17.822      0.869 
  18.168      0.894 
  19.491      1.051 
  19.383      1.009 
  17.397      0.953 
  18.713      0.921 
  19.518      1.014 
  18.235      0.855 
  18.949      0.977 
  17.563      0.856 
  17.821      0.777 
  18.694      0.924 
  18.849      0.843 
  18.826      0.976 
  19.865      1.050 
  18.816      0.842 
  18.464      0.964 
  18.387      0.949 
  18.340      0.823 
  17.571      0.822 
  17.915      0.863 
  17.397      1.111 
  19.650      1.028 
  17.743      0.777 
  18.724      0.898 
  15.200      1.306 
  17.489      0.800 
  19.123      0.967 
  19.358      1.040 
  19.624      1.144 
  19.721      1.114 
  17.737      0.870 
  18.473      0.821 
  18.855      0.862 
  18.909      0.936 
  18.923      0.955 
  18.929      0.916 
  18.933      0.931 
  19.030      1.067 
  19.456      1.009 
  19.519      0.945 
  19.604      1.209 
  19.742      0.959 
  19.861      1.097 
  19.870      1.121 
